Blog	hat	traffic	begins	yours	tour	expensive	apple	parties	cd	daddy	considered	paying	checking	checked	besides	meal	character	childhood	opinion	animals	interest	rough	threw	rush	prayer	shape	colors	career	effect	marriage	bird	grass	strength	september	visiting	officially	becoming	attempt	film	society	younger	ending	background	milk	bathroom	runs	battle	bridge	period	sold	include	spoke	accept	basically	jesus	bill	island	huh	fake	angry	invited	issue	teach	whose	charge	east	creative	continued	rule	tickets	calm	correct	among	whom	sell	ring	discovered	performance	degrees	concert	base	pure	boss	response	tight	perfectly	folks	jack	honestly	midnight	aside	lake	plain	soft	bye	sand	riding	ordered	laughed	sex	answers	confused	extremely	fans	report	feed	jobs	anniversary	block	solid	blow	signs	musical	cost	nor	goodbye	flat	david	avoid	balance	ha	recommend	airport	joined	trick	progress	ear	via	throwing	evil	bringing	comfort	easter	trips	football	flight	rose	attack	enter	serve	program	lower	member	pretend	aware	forgotten	distance	tall	obvious	gifts	paul	familiar	review	edge	america	houses	likely	seven	worried	disappointed	despite	perhaps	relax	w	security	describe	pushed	offered	shots	topic	odd	damn	grab	annoying	stress	pages	teaching	celebration	giant	hurts	manage	police	bank	sometime	row	adventure	counting	burn	prepare	filling	pushing	understanding	bike	interview	president	visited	normally	holy	accident	suck	dying	typical	cell	plastic	lessons	nobody	guide	female	river	thrown	text	cookies	personally	patient	smaller	waste	french	reminds	impossible	balls	stomach	passion	letters	excitement	artist	streets	inspired	yard	knowledge	ocean	faster	leading	successful	score	ah	smoke	flash	ass	ups	passing	pride	fashion	hardly	camp	thick	blessed	mirror	saved	activity	searching	pressure	product	sigh	wave	catching	degree	wash	fail	leg	dust	central	classic	talks	neighborhood	greatest	included	sets	square	challenge	government	items	highly	grateful	experiences	struggle	plenty	forced	stone	load	bread	upset	signed	parent	drama	routine	drinks	golden	research	account	fault	lying	lift	bet	teachers	rate	painting	fever	personality	oil	complain	burning	education	rolling	walks	thin	garage	expecting	youtube	suppose	downtown	sudden	cutting	driver	option	smiling	sunny	glasses	dishes	thanksgiving	web	tend	library	buddy	granted	session	indeed	pleasure	wise	desire	bite	emotional	match	jumping	toy	quit	heads	someday	traveling	related	jumped	listened	google	screaming	concept	ugly	holds	prayers	cash	decent	sides	forth	conversations	design	toys	gas	minor	van	prefer	info	shake	channel	ignore	shirts	festival	fantastic	lets	cousins	thousand	grace	angel	media	net	videos	bands	model	fighting	wine	selling	boots	freedom	neck	creating	material	nowhere	target	button	content	lyrics	annual	exact	pulling	slide	wrapped	breaks	deserve	drunk	prove	answered	matters	bother	loose	sounded	belly	stands	limited	lonely	swing	hero	boyfriend	concerned	attitude	receive	puts	regret	professional	chest	particularly	shock	george	forgive	fancy	goodness	therefore	split	repeat	raised	popular	risk	climb	returned	clouds	attend	agreed	ability	thus	hated	promised	flower	flies	fed	delicious	directly	proper	tom	stairs	james	egg	pregnant	sadly	hearts	master	plate	remain	eggs	flip	rare	heading	vote	birds	sunshine	diet	audience	groups	hug	curious	rocks	experienced	meat	climbing	fabulous	merry	touched	laundry	truck	continues	mistake	becomes	glory	various	horse	culture	ticket	necessary	express	fallen	press	episode	vs	beer	entry	collection	crap	exercise	presence	released	reaction	male	toilet	humor	california	physical
Best Mp3 Blog	0	1	0	4	1	0	4	0	76	5	0	0	3	0	0	0	0	0	0	1	1	0	0	4	2	0	5	0	3	0	2	2	0	6	0	1	0	0	0	2	0	0	0	14	0	0	2	2	0	0	0	1	0	1	3	0	5	0	4	0	0	1	1	0	1	4	5	0	2	0	0	0	1	0	0	2	0	7	4	0	3	8	2	0	0	3	0	15	0	7	1	20	0	1	3	1	1	0	0	10	0	1	0	0	1	1	0	0	4	2	4	1	1	22	0	2	2	100	0	2	2	0	0	0	1	0	0	8	0	1	0	0	0	0	0	4	4	2	2	0	0	0	0	0	0	0	3	1	0	0	66	0	1	0	0	0	0	5	0	0	0	0	1	14	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	7	5	0	3	0	0	0	1	0	0	2	1	3	0	0	0	4	2	3	5	2	0	0	1	0	2	0	0	0	2	0	0	2	0	4	4	0	78	4	1	0	0	0	2	3	0	1	2	3	7	6	1	1	8	1	0	0	0	0	10	3	0	1	6	0	0	5	0	0	2	0	1	2	0	8	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	14	0	1	0	0	0	3	0	0	4	0	0	0	0	3	0	6	0	0	4	0	1	0	6	2	1	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	276	0	0	0	0	71	0	1	0	3	0	0	0	3	1	0	1	0	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	4	1	0	0	74	1	0	33	1	0	0	2	0	4	2	0	14	11	3	122	0	0	0	0	0	0	0	3	0	0	2	0	0	2	0	1	1	0	0	4	0	2	0	2	1	0	5	0	2	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	1	7	1	2	0	0	1	0	0	0	2	0	0	3	0	0	0	1	0	2	4	0	0	14	1	5	38	0	20	1	0	0	1	14	0	0	0	1	0	0	2	0	5	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	3	0	1	8	0	1	0	0	5	1	232	0	0	1	0	0	0	32	8	1	0	0	1	0
Web Science and Digital Libraries Research Group	16	17	8	3	8	6	7	5	21	0	22	0	9	6	1	0	9	0	6	0	35	1	2	1	0	6	4	42	24	3	0	0	16	27	7	4	5	20	1	27	1	4	12	0	0	4	2	2	16	2	43	72	96	7	0	10	3	2	3	2	22	26	1	13	4	3	9	36	12	1	0	22	27	3	2	0	26	59	1	0	13	2	0	91	1	5	3	3	0	0	2	4	4	7	3	1	0	3	4	3	4	4	11	15	126	9	7	6	2	1	0	3	2	20	9	0	1	54	13	2	2	9	9	7	2	17	5	51	2	0	13	0	2	3	15	4	2	8	4	10	68	2	21	2	15	5	7	0	4	1	9	18	36	28	5	0	23	5	1	3	7	18	2	29	10	23	1	25	1	64	2	1	7	1	2	227	13	9	4	0	11	11	4	6	0	5	1	2	7	3	3	19	1	17	15	5	3	0	2	1	1	4	1	0	6	2	10	2	3	1	117	1	11	1	11	1	7	0	1	0	0	7	7	2	2	1	18	0	39	1	5	7	24	20	7	0	3	0	2	18	5	4	1	15	0	1	5	8	22	21	1	22	0	1	4	24	0	3	2	0	5	7	40	12	1	45	38	1	27	33	11	11	7	14	0	0	4	1	14	2	2	4	4	0	0	3	0	291	35	0	0	2	4	2	19	1	0	1	0	3	2	17	1	6	1	2	0	33	2	4	0	2	3	15	0	4	0	0	1	1024	6	234	0	2	251	5	5	1	2	0	5	12	0	2	0	3	0	4	74	0	2	158	0	26	2	4	0	1	3	1	4	6	37	0	1	9	37	9	9	0	3	7	1	1	4	5	4	4	14	9	120	26	52	0	92	1	0	1	0	4	0	39	21	1	39	11	328	0	9	10	5	12	3	4	8	0	4	11	6	0	2	2	0	2	16	2	0	0	0	8	2	12	6	4	13	0	9	0	32	0	0	1	14	12	5	7	32	9	2	31	5	57	1	30	27	0	1	0	3	2	19	24	6	4	2	14	0	0	0	0	29	0	6	0	2	1	2	3	4	0	3	44	30	0	2	0	6	0	0	0	0	1	0	0	3	2	10	0	91	2	15	0	12	4	0	22	3	27	0	8	124	1	4	11	38	2	2	0	1	17	20
Shamrock Jews Adventure Story	32	34	1	0	20	5	19	1	2	35	12	7	13	30	0	46	0	3	6	17	12	6	4	4	4	6	5	1	6	0	10	12	4	6	30	6	12	8	2	4	4	0	10	25	8	7	5	3	4	4	7	6	4	0	0	6	0	7	3	1	7	10	6	9	3	8	1	4	4	10	2	8	16	3	2	10	29	8	1	2	6	0	0	12	3	3	40	0	0	3	5	14	8	22	21	6	19	7	3	5	7	9	7	7	7	14	1	4	9	8	6	32	1	12	6	6	3	3	4	2	0	10	19	9	23	12	4	5	2	4	5	1	5	3	11	8	1	3	8	8	12	3	14	7	3	4	5	15	5	2	3	11	1	11	12	13	25	4	8	4	9	20	4	0	5	5	6	10	34	4	29	1	5	2	4	2	4	7	12	1	13	5	8	8	8	17	5	6	8	9	9	3	38	6	1	13	17	1	6	4	0	2	10	9	5	3	3	3	5	4	8	9	0	3	9	5	6	6	3	8	3	2	7	5	0	19	1	12	3	6	5	6	1	1	9	3	3	2	2	12	2	3	4	2	11	0	3	2	8	5	6	4	4	10	5	1	9	1	8	2	2	8	2	12	0	19	6	13	0	28	21	5	2	7	1	6	6	6	12	33	2	2	9	1	9	11	2	3	5	1	9	4	7	10	7	4	3	3	9	2	8	6	8	4	14	6	6	21	35	4	4	8	13	12	5	1	1	20	19	5	8	5	2	3	4	9	9	2	6	9	0	7	2	18	0	9	4	18	9	3	3	7	2	3	0	3	0	1	9	5	13	4	4	12	14	2	4	5	7	2	2	3	1	22	17	6	32	10	3	4	3	4	17	2	6	2	5	5	5	7	11	2	2	3	3	3	9	3	2	8	12	10	3	4	1	1	5	2	3	5	1	5	25	4	5	4	27	1	1	6	2	3	3	0	0	2	41	9	0	2	2	6	11	5	5	9	19	6	14	7	9	6	13	4	3	0	2	12	2	3	10	15	10	0	7	0	14	9	11	1	3	9	3	17	0	9	28	4	9	0	1	2	8	6	5	5	5	24	12	4	1	0	4	8	2	2	8	1	16	11	8	11	9	4	4	5	3	3	11	10	5	0	15	2	3	12	5	16	0	2	2
Lunatic Ramblings	1	0	0	0	1	1	3	0	0	7	1	2	3	0	2	1	2	0	3	3	3	1	2	2	0	4	3	1	4	0	1	10	0	2	5	1	2	11	5	0	0	0	2	1	10	4	1	1	6	4	0	0	4	13	4	1	0	3	2	1	3	2	0	1	0	0	5	0	2	1	2	3	0	0	3	1	5	0	2	0	3	5	2	0	9	1	0	37	13	2	2	1	0	0	0	3	3	0	6	7	2	5	1	0	1	3	1	0	3	3	2	1	2	3	2	0	5	1	3	1	14	0	4	0	2	1	0	0	2	8	3	1	0	1	0	2	0	5	1	0	1	2	0	0	0	1	3	3	3	0	0	0	0	2	5	2	1	1	7	3	0	1	0	140	5	3	1	1	0	3	3	12	1	7	4	2	1	0	13	4	3	10	1	0	1	0	0	1	0	2	6	0	2	2	4	0	8	9	4	3	2	4	6	6	0	0	1	3	0	2	0	0	5	0	2	0	0	0	3	2	4	0	4	0	3	0	0	12	1	5	0	1	1	1	6	0	0	9	1	0	0	1	1	1	0	0	3	1	0	2	5	2	5	1	1	1	6	1	2	1	1	1	1	1	0	0	2	1	1	0	0	1	0	2	0	1	2	0	1	0	3	3	2	4	1	3	0	2	2	2	1	2	3	0	9	0	0	4	4	1	3	2	0	9	1	10	6	0	4	0	5	2	3	2	1	1	0	2	0	1	6	0	2	2	0	0	1	0	1	0	0	1	3	6	2	3	0	1	4	3	1	2	7	1	2	3	0	2	0	2	0	1	0	1	4	2	0	0	2	3	2	2	6	0	0	0	1	2	0	3	2	1	2	0	0	0	0	0	2	0	10	2	5	0	0	1	1	1	0	2	1	2	1	0	1	3	4	0	3	3	1	5	1	2	1	0	2	0	3	3	0	0	4	3	1	4	3	4	0	0	3	2	4	3	3	0	0	0	1	1	0	0	2	1	3	0	4	2	0	0	0	2	1	1	4	6	1	2	2	0	1	0	1	0	2	1	0	1	1	1	1	0	2	0	2	3	0	0	0	1	0	1	1	6	1	2	4	1	11	5	0	1	5	1	1	3	2	1	7	1	0	13	1	1	0	2	2	9	5	9	1
STEADY BLOGGIN!	2	0	0	1	6	0	0	6	6	0	0	1	0	1	1	0	1	2	1	1	3	1	1	0	0	1	1	0	2	1	2	0	2	7	3	2	1	0	1	0	1	3	0	0	10	1	4	0	0	4	5	1	0	3	2	1	1	0	4	0	1	2	0	1	1	7	0	1	1	3	1	1	0	1	0	0	0	2	0	1	0	1	2	3	1	0	2	3	1	1	0	0	1	0	1	0	5	1	3	0	0	0	1	0	1	0	1	5	0	2	2	0	3	1	0	0	0	0	0	0	0	2	1	0	1	2	0	4	2	2	3	1	0	1	0	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	2	2	3	0	0	0	1	2	1	0	0	0	0	8	0	2	0	0	1	1	1	5	2	1	1	0	0	1	3	0	0	5	0	0	0	0	1	0	5	1	0	0	0	11	2	1	0	1	0	1	0	0	0	0	0	0	0	0	11	0	0	0	6	0	0	0	2	0	0	1	0	2	0	4	7	4	2	4	2	1	0	0	0	0	0	2	0	9	1	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	4	0	0	0	4	6	5	0	4	1	2	2	3	1	1	2	0	1	0	3	1	0	2	0	4	0	0	1	0	0	2	0	0	0	1	0	3	0	1	3	0	0	1	0	1	0	1	2	5	1	0	0	0	0	1	2	0	1	1	1	0	0	0	4	0	7	1	1	0	0	0	1	0	0	1	0	2	0	2	0	0	1	2	0	0	0	0	0	0	2	2	4	1	0	0	1	1	5	2	1	1	3	5	0	1	0	0	1	1	4	1	1	4	1	0	0	1	0	0	0	3	2	1	0	0	1	0	2	1	1	0	0	18	0	0	0	0	0	0	1	0	0	1	6	0	1	1	4	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	5	1	1	0	0	1	0	0	0	1	1	4	5	0	6	0	0	0	1	0	1	2	1	1	2	4	1	0	1	0	2	2	0	0	0	2	8	0	0	0	0	0	0	3	1	0	0	5	0	5	1	0	2	0	4	1	6	0	1	1	0	0	0	7	2	0	3	1	2	1
Living Diagonally In My Parallel World!	0	4	0	0	0	0	4	2	0	1	0	2	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	7	0	1	1	0	5	0	1	0	2	0	0	1	0	0	4	4	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	3	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	2	0	1	0	2	0	2	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	9	0	0	0	2	0	0	1	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	1	4	0	0	1	13	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	1	3	0	0	4	0	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	2	0	0	3	0	0	2	3	4	0	0	0	0	3	0	0	0	0	2	0	0	0	2	7	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	1	1	0	0	0
hmm?	0	4	0	1	0	3	1	0	1	0	1	0	0	0	2	1	8	0	1	0	3	3	0	2	3	0	0	3	0	2	1	2	2	0	0	2	1	1	12	2	2	10	1	1	1	0	3	0	23	0	1	0	7	11	0	1	3	8	8	8	1	1	10	0	3	0	1	4	5	0	3	2	1	0	3	1	0	5	0	1	1	1	4	0	1	3	1	7	2	5	3	0	5	2	9	0	0	0	0	3	1	0	4	4	2	1	1	0	11	1	0	0	0	7	3	4	0	0	6	0	10	0	0	0	0	0	3	1	0	3	0	1	0	0	9	0	0	4	18	3	0	8	4	4	1	0	1	0	0	0	3	2	4	2	0	1	3	2	1	0	1	0	3	1	0	2	0	1	0	11	0	65	2	3	3	1	2	0	0	0	1	1	3	9	2	0	1	6	0	0	0	0	1	0	1	1	17	1	9	6	1	5	2	0	1	2	3	2	0	1	2	0	1	1	1	8	0	1	0	1	1	1	0	2	3	0	0	0	0	5	2	2	2	2	53	5	2	7	1	1	1	0	3	18	0	0	0	1	2	0	2	1	37	1	0	1	1	15	5	2	0	0	6	0	0	0	1	0	2	0	0	0	1	1	4	0	3	1	2	0	0	1	18	5	1	6	0	3	4	5	1	4	13	3	1	0	3	1	0	3	3	0	0	0	0	0	2	7	23	0	3	0	1	3	9	0	0	0	1	1	0	11	1	2	1	2	0	0	1	1	2	2	2	0	8	0	1	1	0	0	0	3	0	0	0	0	0	1	4	1	0	0	2	0	2	0	0	1	2	2	0	6	0	0	0	18	0	2	0	4	1	8	1	0	1	0	2	0	1	0	0	0	1	4	0	1	2	1	0	4	0	2	0	0	1	2	7	3	1	5	0	5	1	0	1	1	0	10	1	0	7	4	0	8	1	0	0	0	1	2	0	0	1	2	2	0	5	3	0	2	0	1	0	2	1	3	0	1	2	0	0	1	1	0	1	1	1	0	10	0	2	0	1	2	0	1	0	0	5	4	2	1	1	0	0	0	0	1	0	0	2	2	0	0	1	7	1	3	1	0	1	7	0	5	1	3	2	2	1	1	0	15	5	1	0	1	0	0	0	0	0
quella vita	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	2	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
the sometimes maternal musings of dr. blaurb	0	3	2	1	3	2	6	2	0	2	7	2	4	2	9	5	5	0	4	2	1	2	0	5	0	3	0	5	1	5	1	0	4	2	4	4	5	4	3	2	1	2	3	6	4	13	0	0	3	2	0	0	1	15	0	2	0	0	0	0	0	5	3	5	1	3	3	1	1	2	2	1	1	2	1	6	1	1	4	2	3	1	3	3	0	1	0	0	4	0	0	6	6	0	0	7	4	0	0	0	2	1	1	1	3	1	5	2	1	2	1	0	3	2	2	3	4	0	1	5	1	4	0	1	0	6	0	0	0	3	1	0	0	2	4	1	3	0	3	0	6	2	0	0	4	0	2	0	1	1	1	1	4	0	0	3	1	1	2	0	2	4	1	4	0	2	2	2	3	2	3	0	2	1	8	2	0	0	0	0	8	0	0	2	6	1	3	1	1	2	2	1	6	1	2	7	6	0	1	0	0	6	1	1	1	3	1	1	4	1	0	5	2	0	1	3	0	1	0	6	0	5	1	6	0	0	1	0	3	3	3	1	6	1	1	0	0	1	4	2	0	2	0	11	2	0	1	3	3	4	5	2	10	0	2	2	0	2	1	0	0	3	2	3	3	8	4	1	0	1	1	6	6	2	2	0	1	1	0	4	0	5	1	1	2	9	0	21	0	0	3	1	2	0	2	0	0	0	0	3	0	0	1	0	1	1	2	0	1	6	2	1	1	2	2	7	0	3	5	0	2	1	0	1	3	4	2	1	1	1	6	1	1	1	2	1	1	8	5	2	0	13	1	2	0	1	0	0	1	2	0	4	6	0	0	1	0	1	0	4	0	1	1	1	3	1	3	1	0	0	1	2	1	2	0	5	3	0	0	2	0	0	2	1	5	0	2	0	0	0	0	3	2	4	0	0	2	1	1	0	0	0	2	1	1	0	1	0	2	0	2	1	1	0	2	2	3	2	4	0	5	0	1	1	3	1	1	5	9	0	0	1	4	1	4	0	0	1	2	1	12	3	2	1	1	2	3	2	3	0	0	2	2	0	1	0	4	6	0	0	15	2	1	0	1	2	2	3	5	1	2	0	3	1	0	0	1	0	6	7	1	1	2	0	0	2	0	0	1	8	3	0	17	0	1	1	1	2	5	3	6
Cannon Family	1	3	7	0	1	6	3	5	0	17	2	4	3	0	2	4	2	4	1	0	0	4	10	1	0	1	4	0	1	9	0	1	1	9	6	3	7	0	1	3	3	3	1	6	4	6	0	4	1	3	4	1	0	7	0	0	4	0	0	6	6	2	0	0	3	42	1	3	2	11	1	0	1	0	5	6	2	1	10	0	0	0	0	3	1	1	2	3	0	2	0	1	1	2	6	3	3	2	2	1	5	4	1	0	0	3	0	4	3	4	0	1	3	2	0	5	0	0	2	3	4	3	0	3	7	2	1	2	12	1	0	4	5	4	3	4	0	5	0	1	0	15	0	9	3	2	0	1	3	9	0	1	1	0	1	4	4	2	8	3	8	0	1	1	2	1	2	3	5	1	0	0	1	7	5	1	1	7	4	0	1	11	2	1	3	3	2	3	2	1	3	0	3	0	2	1	1	0	0	2	4	3	4	0	0	9	2	2	0	1	1	11	2	0	1	2	2	0	8	1	6	0	0	0	0	3	1	1	1	0	0	0	2	3	1	1	0	0	1	0	1	10	2	4	1	6	1	0	2	1	11	3	0	1	2	3	1	0	1	0	8	2	2	6	5	5	3	15	5	0	4	2	20	3	3	3	3	0	4	5	6	2	1	2	1	3	0	1	1	1	0	0	1	13	2	3	1	2	1	3	1	2	4	3	1	1	2	2	8	5	3	1	0	8	0	6	0	8	9	0	3	6	3	0	1	3	0	4	1	2	1	5	0	3	4	0	2	2	1	3	0	0	9	1	2	1	2	1	2	2	1	0	4	5	0	4	0	10	0	4	1	7	0	1	3	6	11	0	0	1	0	0	1	0	3	3	2	2	1	1	3	2	0	2	10	1	0	0	3	7	4	0	4	5	1	0	3	0	0	0	0	3	4	2	0	3	0	0	0	4	6	0	3	1	1	0	1	1	0	4	5	29	1	0	2	0	1	2	2	0	0	2	3	1	1	1	0	2	0	2	16	1	1	0	4	4	1	20	3	1	0	2	2	1	4	2	0	2	2	15	5	1	3	3	4	1	2	1	4	17	3	0	16	0	8	1	2	1	0	2	0	5	0	2	0	1	1	2	0	0	3	2	1	0	0	0	2	9	0	21	1
Final Approach	2	7	4	0	1	2	0	6	0	0	4	6	0	4	0	0	1	4	2	0	5	1	1	3	2	10	0	3	4	10	0	1	1	1	4	1	0	0	12	0	0	1	0	0	0	4	2	0	6	0	3	6	2	1	0	1	0	1	0	5	0	1	1	1	4	2	0	3	2	0	1	4	3	2	4	0	1	2	4	0	1	0	1	2	0	1	0	2	1	1	3	1	3	0	0	0	0	0	1	4	6	0	1	1	1	1	1	1	1	3	0	0	0	4	0	0	0	5	1	1	5	1	12	6	1	3	1	10	0	0	0	4	0	0	19	27	1	0	2	1	0	2	2	3	1	4	0	1	1	0	5	3	3	2	1	3	0	1	0	2	1	1	1	1	3	1	2	3	0	3	0	1	2	0	1	0	2	0	0	1	3	6	0	1	1	0	3	0	0	0	0	5	0	2	2	4	3	0	5	0	2	4	1	0	3	9	2	4	1	5	8	0	3	1	0	2	2	2	1	1	0	1	0	1	2	1	1	0	2	2	2	1	3	3	0	1	0	6	0	1	1	1	4	0	0	0	1	2	1	1	7	1	2	0	2	3	2	4	6	0	10	0	2	1	1	3	2	4	1	3	0	0	0	4	0	0	0	2	0	1	1	0	3	5	1	3	2	16	0	0	2	1	5	1	6	0	2	0	3	1	0	2	2	0	0	0	1	0	0	0	0	0	4	7	0	0	0	0	0	0	6	3	0	2	1	4	0	5	3	0	2	7	0	0	2	0	4	0	8	1	0	2	0	2	1	2	1	3	4	3	1	3	4	0	0	1	5	5	1	1	0	2	5	0	0	1	0	1	0	11	3	0	2	3	0	2	0	0	0	0	0	2	3	4	2	0	1	0	0	4	1	1	0	1	6	5	1	4	4	1	0	3	0	1	1	0	0	1	0	0	4	1	1	0	3	0	1	0	1	0	0	1	0	2	0	3	0	2	1	1	0	1	1	0	1	0	4	0	0	0	0	6	2	3	0	1	0	1	0	0	5	0	2	1	0	2	5	0	2	3	1	3	3	1	0	2	1	0	2	0	2	1	0	0	3	3	1	2	2	0	0	14	2	2	1	0	4	3	1	1	0	1	1	3	0	5	0	4	2	0	0
QiuQiu	38	22	4	68	38	88	35	10	2	115	10	37	16	39	15	123	41	24	36	8	26	31	9	57	0	70	1	28	112	5	49	21	18	38	39	8	28	10	32	8	65	29	45	200	17	10	19	32	105	62	8	15	34	32	1	22	26	112	72	137	67	38	29	4	35	33	38	7	7	75	25	30	30	28	112	90	5	25	4	12	69	23	64	8	47	34	10	27	30	13	27	4	22	212	259	10	0	96	23	31	16	20	24	12	4	42	18	17	38	19	43	25	5	123	58	15	60	4	45	39	19	14	52	30	11	7	24	18	12	32	60	30	2	29	2	48	34	25	32	78	17	62	19	49	13	7	1	30	51	69	4	14	9	21	3	8	11	23	41	26	29	16	19	40	11	21	9	33	125	14	9	431	112	34	41	6	10	43	27	13	112	21	18	15	45	1	7	14	67	24	21	19	0	38	5	9	7	20	7	81	12	31	16	63	6	163	40	23	9	6	37	36	23	55	50	24	41	13	17	27	22	31	9	12	25	20	45	3	19	7	41	39	21	15	669	13	39	29	17	15	16	262	69	7	104	40	52	11	12	6	33	157	101	16	12	23	137	65	43	20	58	30	5	7	3	36	54	65	45	8	322	47	41	12	6	71	9	13	6	57	31	6	13	54	29	68	27	28	69	29	26	40	31	14	37	12	7	18	122	17	15	6	21	8	44	12	18	39	5	3	11	70	25	19	22	8	16	38	1	18	17	3	17	17	74	34	10	21	11	49	14	126	11	45	9	17	8	7	46	8	9	34	11	32	131	9	2	115	62	41	3	7	79	30	3	5	13	67	49	16	29	36	10	18	16	9	7	33	11	17	69	8	43	2	118	19	43	107	8	8	58	18	53	15	8	31	22	11	3	23	19	3	7	6	73	35	18	4	20	54	35	10	30	14	59	25	10	17	94	6	32	64	11	39	71	20	14	17	6	15	9	36	16	22	18	9	103	27	5	0	5	44	10	18	35	16	16	59	8	13	9	17	42	6	4	4	106	57	16	54	19	43	9	63	25	29	72	99	25	8	16	11	9	20	11	7	5	79	4	6	12	57	13	4	5	11	30	4	80	4	7	16	8	36	5	34	59	8	11	28	138	33	6	2	7	10	14	100	7	0	12
